region,CHR,start,end,cglist,nprobes
Chr1:2383438-2383687,1,2383438,2383687,cg12728061;cg06215416;cg13384949;cg00157179,4
Chr1:2387810-2388073,1,2387810,2388073,cg11390151;cg14129430;cg25221196;cg24479820,4
Chr1:2391121-2391347,1,2391121,2391347,cg11214544;cg13556452;cg07700843;cg02850689,4
Chr1:2398837-2399054,1,2398837,2399054,cg20243838;cg04341153;cg16578609;cg12929805,4
Chr1:2437047-2437200,1,2437047,2437200,cg25037677;cg24551418;cg05697866,3
Chr1:2467096-2467281,1,2467096,2467281,cg06415891;cg20816361;cg12443001,3
Chr1:2501708-2501937,1,2501708,2501937,cg11213235;cg10220117;cg07817856,3
Chr1:2574349-2574885,1,2574349,2574885,cg26398836;cg10117795;cg01030973;cg12646754;cg04830049,5
Chr1:2716877-2717193,1,2716877,2717193,cg24045590;cg09475276;cg23634547;cg14216876,4
Chr1:2723015-2723217,1,2723015,2723217,cg24074480;cg02975102;cg17455297,3
Chr1:2731575-2731612,1,2731575,2731612,cg21608943;cg03343681;cg22608641,3
Chr1:2766719-2766872,1,2766719,2766872,cg11377464;cg18181363;cg12284465,3
Chr1:2767081-2767309,1,2767081,2767309,cg22615275;cg15836046;cg11632501,3
Chr1:2771846-2772363,1,2771846,2772363,cg24484895;cg08832782;cg01242872;cg13923696;cg07230639,5
Chr1:2776972-2777244,1,2776972,2777244,cg03281194;cg11804692;cg06784198;cg24252695,4
Chr1:2822706-2822901,1,2822706,2822901,cg15579696;cg07972116;cg09857070,3
Chr1:2827681-2827833,1,2827681,2827833,cg01844751;cg23887776;cg15356461,3
Chr1:2828044-2828293,1,2828044,2828293,cg11754828;cg15622619;cg15515265;cg04914832,4
Chr1:2834993-2835258,1,2834993,2835258,cg27043144;cg14074351;cg13547132,3
Chr1:2836564-2836643,1,2836564,2836643,cg14836978;cg04979216;cg02394247,3
Chr1:2840177-2840308,1,2840177,2840308,cg19802390;cg20608032;cg21943117,3
Chr1:2845139-2845583,1,2845139,2845583,cg00779565;cg19846168;cg04204766;cg15203905;cg04131502,5
Chr1:2850682-2850951,1,2850682,2850951,cg13402298;cg00660693;cg21409829;cg09028711,4
Chr1:2876347-2876723,1,2876347,2876723,cg06836656;cg23932261;cg15831346,3
Chr1:2885085-2885244,1,2885085,2885244,cg27537199;cg01301282;cg11737757;cg23218354,4
Chr1:2886654-2886868,1,2886654,2886868,cg06532546;cg22432982;cg01977798;cg00050294;cg04080530,5
Chr1:2918526-2918752,1,2918526,2918752,cg00830435;cg22517653;cg16678111;cg11452087,4
Chr1:2928403-2928616,1,2928403,2928616,cg03296283;cg23226249;cg20141398,3
Chr1:2931131-2931206,1,2931131,2931206,cg15469578;cg07205724;cg17637772,3
Chr1:2949633-2949673,1,2949633,2949673,cg06201717;cg19825898;cg24150662,3
Chr1:2954108-2954429,1,2954108,2954429,cg13491144;cg06792538;cg08733933,3
Chr1:3401607-3401748,1,3401607,3401748,cg06180630;cg13901857;cg12611135,3
Chr1:3696143-3696285,1,3696143,3696285,cg17499822;cg17603271;cg06614697,3
Chr1:3721781-3721846,1,3721781,3721846,cg14992972;cg14264793;cg24556754,3
Chr1:4079006-4079286,1,4079006,4079286,cg08847614;cg03426423;cg18288558,3
Chr1:4087182-4087226,1,4087182,4087226,cg25469923;cg13443938;cg16686279,3
Chr1:4221331-4221659,1,4221331,4221659,cg04570715;cg18213443;cg22016671;cg10622019;cg07425646;cg25488973,6
Chr1:4231136-4231293,1,4231136,4231293,cg15811736;cg23930133;cg27056742,3
Chr1:4485482-4485629,1,4485482,4485629,cg15708696;cg11976848;cg25195604,3
Chr1:4611470-4611776,1,4611470,4611776,cg18083933;cg02063024;cg15159743,3
Chr1:4631309-4631581,1,4631309,4631581,cg03555448;cg19015856;cg26087406;cg05152961,4
Chr1:5539958-5540135,1,5539958,5540135,cg26612418;cg00397103;cg25065518,3
Chr1:5540501-5540602,1,5540501,5540602,cg12527097;cg16173186;cg25341687,3
Chr1:5561949-5561995,1,5561949,5561995,cg20695003;cg24591573;cg11968318,3
Chr1:5779163-5779383,1,5779163,5779383,cg11596090;cg24834921;cg11207799,3
Chr1:5809346-5809461,1,5809346,5809461,cg16512667;cg10536323;cg04096305,3
Chr1:5896461-5896653,1,5896461,5896653,cg13133560;cg09317508;cg19500334,3
Chr1:5907402-5907508,1,5907402,5907508,cg12041830;cg07928086;cg07599881,3
Chr1:5917284-5917533,1,5917284,5917533,cg04621353;cg12438598;cg15728744,3
Chr1:5917766-5917915,1,5917766,5917915,cg24864189;cg24883265;cg23589237,3
Chr1:5919703-5920035,1,5919703,5920035,cg22506757;cg14969806;cg00258499,3
Chr1:5920438-5920514,1,5920438,5920514,cg12426776;cg14559147;cg02275243,3
Chr1:5922686-5922801,1,5922686,5922801,cg05302064;cg22682724;cg04290350,3
Chr1:6063456-6063829,1,6063456,6063829,cg13069237;cg13928473;cg22692659;cg24926052,4
Chr1:6301951-6302273,1,6301951,6302273,cg01514415;cg23341202;cg05347736;cg22733648,4
Chr1:6812407-6812753,1,6812407,6812753,cg26420906;cg24571081;cg02884270;cg08416639,4
Chr1:7842369-7842406,1,7842369,7842406,cg14511923;cg02277850;cg23987789,3
Chr1:8002528-8002698,1,8002528,8002698,cg18859763;cg27305704;cg16839093,3
Chr1:8013974-8014650,1,8013974,8014650,cg24251814;cg21814278;cg12045833;cg02737782;cg04112961;cg11518359,6
Chr1:8066815-8066976,1,8066815,8066976,cg01001263;cg05784329;cg24848542,3
Chr1:8137399-8137564,1,8137399,8137564,cg15217061;cg14097786;cg22171607,3
Chr1:8252652-8252790,1,8252652,8252790,cg16672265;cg05660038;cg21963312,3
Chr1:8271918-8272277,1,8271918,8272277,cg20014974;cg02847588;cg00590817;cg12700319;cg06780032,5
Chr1:8377724-8377868,1,8377724,8377868,cg26407930;cg07171527;cg12907988,3
Chr1:8378213-8378538,1,8378213,8378538,cg26316082;cg04609307;cg09216375;cg14851757,4
Chr1:9146291-9146369,1,9146291,9146369,cg08229716;cg16201634;cg09107224,3
Chr1:9242037-9242340,1,9242037,9242340,cg16313966;cg25368261;cg09312740;cg04413644;cg04112567,5
Chr1:9256671-9257092,1,9256671,9257092,cg18265147;cg07975828;cg02085891;cg20462990;cg07340646;cg05933510,6
Chr1:9258678-9258836,1,9258678,9258836,cg24577933;cg19988763;cg16348112;cg04083753,4
Chr1:9263140-9263355,1,9263140,9263355,cg08295452;cg16518442;cg18579604,3
Chr1:9340416-9340583,1,9340416,9340583,cg01102307;cg16411216;cg09869882,3
Chr1:9488706-9489434,1,9488706,9489434,cg03605773;cg04785675;cg06843240;cg17742334;cg20982311;cg03003073,6
Chr1:9555342-9555691,1,9555342,9555691,cg00583526;cg02504229;cg26155217;cg25138854;cg13935689,5
Chr1:9563477-9563699,1,9563477,9563699,cg12024681;cg06689329;cg08976120;cg18649323,4
Chr1:9687064-9687259,1,9687064,9687259,cg27308687;cg08579819;cg15924259,3
Chr1:9908036-9908304,1,9908036,9908304,cg06431967;cg01994208;cg06216080;cg15416870,4
Chr1:10895950-10896004,1,10895950,10896004,cg02971581;cg09510180;cg00944431,3
Chr1:10917292-10917391,1,10917292,10917391,cg13089367;cg16427321;cg26027690,3
Chr1:11473272-11473367,1,11473272,11473367,cg18216918;cg03514188;cg17107307;cg25505676,4
Chr1:11822116-11822362,1,11822116,11822362,cg24114189;cg21409519;cg20627099;cg04000047,4
Chr1:11967826-11968159,1,11967826,11968159,cg22340067;cg15539878;cg06990916;cg23501171;cg21104483;cg23086274,6
Chr1:12587508-12587714,1,12587508,12587714,cg23765404;cg25483774;cg08055132;cg25155068;cg06267033,5
Chr1:12799238-12799573,1,12799238,12799573,cg12632398;cg19249530;cg11752380,3
Chr1:13839662-13839913,1,13839662,13839913,cg04974913;cg11178863;cg09936426,3
Chr1:13840381-13840494,1,13840381,13840494,cg13788258;cg23974336;cg12937438;cg23071120;cg26536189,5
Chr1:13881331-13881760,1,13881331,13881760,cg26341058;cg01405084;cg19861147;cg21807065;cg07717085;cg09001642,6
Chr1:13949753-13950049,1,13949753,13950049,cg08709405;cg25377530;cg07156877;cg19002137;cg18246392,5
Chr1:14218850-14218927,1,14218850,14218927,cg11053137;cg09759386;cg14269708,3
Chr1:14219312-14219825,1,14219312,14219825,cg18081498;cg23693169;cg22781249;cg03580831,4
Chr1:14220087-14220265,1,14220087,14220265,cg02042384;cg14615440;cg02887997;cg08482465,4
Chr1:14677524-14677691,1,14677524,14677691,cg00565489;cg05246035;cg13837775,3
Chr1:14678259-14678428,1,14678259,14678428,cg21365700;cg00096756;cg18300425,3
Chr1:14746121-14746308,1,14746121,14746308,cg20297940;cg17451046;cg23618179,3
Chr1:15930094-15930386,1,15930094,15930386,cg01769457;cg15036616;cg17177755;cg04643607;cg19699088,5
Chr1:15931055-15931098,1,15931055,15931098,cg13383591;cg05250864;cg14752804;cg01105557,4
Chr1:16083067-16083101,1,16083067,16083101,cg03305795;cg11498041;cg16004427,3
Chr1:16318931-16318998,1,16318931,16318998,cg07107427;cg15161827;cg16277777,3
Chr1:16485531-16485744,1,16485531,16485744,cg11576531;cg14666575;cg25574430;cg10024392,4
Chr1:16543684-16544220,1,16543684,16544220,cg14577366;cg21945734;cg03735492;cg09342184;cg19054818;cg02287573;cg10454529;cg17465616,8
Chr1:16553267-16553549,1,16553267,16553549,cg03969515;cg14429204;cg03522107;cg02987928;cg16680438,5
Chr1:16826099-16826221,1,16826099,16826221,cg13758666;cg21911326;cg09750171,3
Chr1:16841109-16841338,1,16841109,16841338,cg05738580;cg10601270;cg26776944;cg16685798,4
Chr1:16846938-16847289,1,16846938,16847289,cg12584510;cg15101535;cg18991677;cg02579903;cg14329049;cg06662252;cg06849778;cg26613586,8
Chr1:16860563-16860910,1,16860563,16860910,cg24725360;cg14553527;cg07331004;cg15928730,4
Chr1:16861570-16861818,1,16861570,16861818,cg20848377;cg06438517;cg27552113;cg12918271,4
Chr1:16862137-16862212,1,16862137,16862212,cg02871102;cg18024113;cg14928320,3
Chr1:16943843-16944064,1,16943843,16944064,cg10096008;cg11650858;cg25602718,3
Chr1:17004192-17004380,1,17004192,17004380,cg12435824;cg00004209;cg26835324,3
Chr1:17004633-17004834,1,17004633,17004834,cg14752068;cg13630980;cg12442246;cg13486430;cg09158015,5
Chr1:17051298-17051392,1,17051298,17051392,cg01882033;cg11574457;cg21459919,3
Chr1:17053886-17053983,1,17053886,17053983,cg12648811;cg07194829;cg09004167,3
Chr1:17197330-17197624,1,17197330,17197624,cg08723103;cg08973243;cg04494270;cg09861838,4
Chr1:17198526-17198846,1,17198526,17198846,cg13178798;cg25976453;cg23989737;cg12483946;cg08736522,5
Chr1:17199104-17199384,1,17199104,17199384,cg20168927;cg21692666;cg24280512,3
Chr1:17215834-17216201,1,17215834,17216201,cg27227029;cg01164671;cg01056467;cg07255151;cg17179842;cg14440808;cg26541649,7
Chr1:17222146-17222405,1,17222146,17222405,cg09615580;cg02225046;cg25822552,3
Chr1:17231486-17231793,1,17231486,17231793,cg03053597;cg07957795;cg15135617;cg07364018;cg24306142,5
Chr1:17475656-17475832,1,17475656,17475832,cg00924685;cg10432422;cg26516532,3
Chr1:17614144-17614422,1,17614144,17614422,cg08939394;cg10605072;cg03908647,3
Chr1:17846708-17846815,1,17846708,17846815,cg24874425;cg10773780;cg24539455;cg04872947,4
Chr1:18026129-18026411,1,18026129,18026411,cg13079079;cg19508454;cg26664979;cg07194152,4
Chr1:18060276-18060505,1,18060276,18060505,cg15131789;cg17902290;cg06956784,3
Chr1:18884374-18884508,1,18884374,18884508,cg03772253;cg24517325;cg18560776,3
Chr1:18902086-18902229,1,18902086,18902229,cg16004875;cg18795169;cg19915618,3
Chr1:19110562-19111089,1,19110562,19111089,cg00591646;cg13786083;cg00440468;cg19637330;cg26220594;cg14856563,6
Chr1:19665070-19665240,1,19665070,19665240,cg16491362;cg09356672;cg05348366;cg04928049,4
Chr1:19832006-19832487,1,19832006,19832487,cg01237027;cg23919742;cg05828408;cg03455534,4
Chr1:20569408-20569470,1,20569408,20569470,cg01908026;cg22333412;cg10590824,3
Chr1:20577222-20577410,1,20577222,20577410,cg12594314;cg15032216;cg24642843,3
Chr1:20692812-20693027,1,20692812,20693027,cg16023415;cg01084154;cg26831566;cg17331494,4
Chr1:20799799-20800052,1,20799799,20800052,cg06897478;cg04332231;cg15653910;cg05004665,4
Chr1:21741762-21741947,1,21741762,21741947,cg26338871;cg05388124;cg12619156,3
Chr1:21763130-21763415,1,21763130,21763415,cg00786952;cg07708622;cg06287288,3
Chr1:21919044-21919271,1,21919044,21919271,cg20855434;cg17514850;cg24863176;cg26799493,4
Chr1:22677736-22678029,1,22677736,22678029,cg00456299;cg09180171;cg22488750,3
Chr1:23279531-23279685,1,23279531,23279685,cg17873612;cg11070863;cg00172812,3
Chr1:23504425-23504632,1,23504425,23504632,cg06322891;cg11684496;cg17159549;cg01820314;cg18660064,5
Chr1:23888963-23889092,1,23888963,23889092,cg02675394;cg08540100;cg24445316,3
Chr1:23907636-23907905,1,23907636,23907905,cg24739672;cg14160212;cg17464510;cg20632567,4
Chr1:23946267-23946374,1,23946267,23946374,cg06925975;cg25102375;cg25141417,3
Chr1:24165134-24165403,1,24165134,24165403,cg05791411;cg15997130;cg10205764;cg09428157,4
Chr1:24275698-24275885,1,24275698,24275885,cg24507423;cg26022257;cg08596618,3
Chr1:24739858-24740010,1,24739858,24740010,cg02439438;cg23264525;cg19510127,3
Chr1:24818226-24818285,1,24818226,24818285,cg11087036;cg25566301;cg00536799,3
Chr1:25069665-25069938,1,25069665,25069938,cg12081359;cg14605964;cg06129455,3
Chr1:25174504-25174745,1,25174504,25174745,cg10012595;cg02676144;cg17599471,3
Chr1:25566331-25566753,1,25566331,25566753,cg08121175;cg26483743;cg09860717;cg07973655;cg04285956,5
Chr1:25594486-25594523,1,25594486,25594523,cg24991732;cg25951697;cg14188831,3
Chr1:26202137-26202940,1,26202137,26202940,cg09060093;cg04677938;cg05154698;cg26937868;cg24377160;cg03889165,6
Chr1:26249349-26249725,1,26249349,26249725,cg19497548;cg14962394;cg16464704;cg04258380;cg14519120,5
Chr1:26497971-26498669,1,26497971,26498669,cg08255137;cg25719538;cg07156839;cg19726385;cg04001732;cg19567795;cg13532350;cg07084796;cg10984515,9
Chr1:26547059-26547377,1,26547059,26547377,cg21300267;cg20616108;cg08853451,3
Chr1:26551518-26551782,1,26551518,26551782,cg10468070;cg19516105;cg22374940,3
Chr1:26685573-26685827,1,26685573,26685827,cg06469533;cg01943692;cg01200442,3
Chr1:26686587-26686860,1,26686587,26686860,cg05770238;cg18118033;cg05816868,3
Chr1:26947282-26947443,1,26947282,26947443,cg13611318;cg02802060;cg04366801,3
Chr1:26947729-26947893,1,26947729,26947893,cg13571388;cg19008222;cg03344693,3
Chr1:27191899-27191950,1,27191899,27191950,cg08366132;cg20275072;cg21910613,3
Chr1:27503352-27503650,1,27503352,27503650,cg07114335;cg07703119;cg08598406,3
Chr1:27527861-27528084,1,27527861,27528084,cg07022953;cg10115022;cg15915028,3
Chr1:27849092-27849433,1,27849092,27849433,cg18512645;cg03604774;cg12759387;cg24527636;cg21350880,5
Chr1:27851913-27852202,1,27851913,27852202,cg08787146;cg15224908;cg14201707;cg19254948;cg09668030;cg24564692,6
Chr1:27985945-27986074,1,27985945,27986074,cg02266769;cg02238461;cg17602903,3
Chr1:27986306-27986522,1,27986306,27986522,cg07892126;cg24875440;cg22224989,3
Chr1:27989282-27989396,1,27989282,27989396,cg01913767;cg14478217;cg07949416,3
Chr1:28447740-28447896,1,28447740,28447896,cg03053688;cg09901136;cg07185468,3
Chr1:28469746-28470093,1,28469746,28470093,cg19336789;cg07965650;cg03741388,3
Chr1:28471208-28471495,1,28471208,28471495,cg23310123;cg21069962;cg01516645,3
Chr1:28573736-28573940,1,28573736,28573940,cg05045517;cg03226554;cg07148744;cg07913096,4
Chr1:29101849-29102153,1,29101849,29102153,cg22861340;cg06221449;cg10387543;cg10782019,4
Chr1:29203796-29203870,1,29203796,29203870,cg24040048;cg10547990;cg21084461;cg21558250,4
Chr1:29460817-29461070,1,29460817,29461070,cg06155303;cg09264065;cg00107241,3
Chr1:29676467-29676588,1,29676467,29676588,cg23955860;cg07423997;cg26341619,3
Chr1:29804900-29805051,1,29804900,29805051,cg24930749;cg09810059;cg02221471,3
Chr1:30122870-30122972,1,30122870,30122972,cg07922345;cg08144864;cg02961804,3
Chr1:30182218-30182568,1,30182218,30182568,cg18289141;cg16824692;cg14578275,3
Chr1:30559051-30559268,1,30559051,30559268,cg22610424;cg00108524;cg14261542,3
Chr1:30612702-30613001,1,30612702,30613001,cg04084356;cg04029401;cg27236491,3
Chr1:31158026-31158299,1,31158026,31158299,cg26798452;cg08023265;cg17484671;cg12700145;cg16107724,5
Chr1:31280143-31280493,1,31280143,31280493,cg25470758;cg25468274;cg25204088,3
Chr1:31296940-31297098,1,31296940,31297098,cg08693658;cg20338314;cg23944947;cg08372168;cg13134475,5
Chr1:31297305-31297444,1,31297305,31297444,cg13854500;cg14585532;cg01299259;cg24996263,4
Chr1:31920194-31920322,1,31920194,31920322,cg11001045;cg11878555;cg04792461,3
Chr1:31956270-31956405,1,31956270,31956405,cg10080942;cg05132705;cg24401262,3
Chr1:32054766-32055006,1,32054766,32055006,cg08169827;cg10574365;cg16817668,3
Chr1:32180356-32180666,1,32180356,32180666,cg01566260;cg07288476;cg06835744,3
Chr1:32237923-32238225,1,32237923,32238225,cg04878000;cg03774520;cg15694605,3
Chr1:32253906-32254320,1,32253906,32254320,cg25094149;cg00831358;cg24533678;cg13438300;cg00389420,5
Chr1:32254559-32254925,1,32254559,32254925,cg17662971;cg24691844;cg05832106;cg16680645,4
Chr1:32410520-32410694,1,32410520,32410694,cg02410754;cg15535138;cg11756095;cg16554164;cg13100060,5
Chr1:32536516-32536619,1,32536516,32536619,cg06586676;cg05690539;cg20582547,3
Chr1:32752240-32752440,1,32752240,32752440,cg17154086;cg08477088;cg15019095,3
Chr1:32817320-32817463,1,32817320,32817463,cg16912004;cg05018441;cg12618546,3
Chr1:33177924-33178254,1,33177924,33178254,cg10993459;cg26150754;cg07540745;cg00705251;cg07168543,5
Chr1:33391569-33391832,1,33391569,33391832,cg08248611;cg26266099;cg27140992;cg25223191,4
Chr1:33451492-33451805,1,33451492,33451805,cg09502011;cg21913866;cg05823909,3
Chr1:33516461-33516627,1,33516461,33516627,cg07979236;cg05985501;cg10555853,3
Chr1:33592813-33593154,1,33592813,33593154,cg15183457;cg07790862;cg05627078;cg20868518;cg03549856;cg17671608,6
Chr1:33896226-33896237,1,33896226,33896237,cg26079579;cg19021032;cg16558908,3
Chr1:33896920-33897012,1,33896920,33897012,cg17161743;cg13640100;cg16709311,3
Chr1:35208607-35208747,1,35208607,35208747,cg18320577;cg09673499;cg08944551,3
Chr1:35395541-35395837,1,35395541,35395837,cg17418463;cg05860313;cg05046525;cg08213098,4
Chr1:35408714-35408885,1,35408714,35408885,cg22062224;cg14891611;cg06885320,3
Chr1:35442212-35442255,1,35442212,35442255,cg06165342;cg03455250;cg08734053;cg03754582,4
Chr1:35442778-35442963,1,35442778,35442963,cg10798164;cg07250355;cg16655424,3
Chr1:35450601-35450787,1,35450601,35450787,cg14517250;cg26151000;cg26792589,3
Chr1:35586358-35586588,1,35586358,35586588,cg25035631;cg12901910;cg09834465;cg07105947,4
Chr1:35646786-35647011,1,35646786,35647011,cg24719193;cg12386540;cg08392389;cg25864848,4
Chr1:36173557-36173658,1,36173557,36173658,cg10369482;cg09109122;cg06210054,3
Chr1:36335157-36335392,1,36335157,36335392,cg27034963;cg19163612;cg05972039;cg03216952;cg16326470;cg09752398,6
Chr1:36989731-36989817,1,36989731,36989817,cg06902368;cg07167688;cg12596564,3
Chr1:37235221-37235434,1,37235221,37235434,cg09407996;cg05359102;cg11485605;cg23364354,4
Chr1:37513430-37513490,1,37513430,37513490,cg14178083;cg09363841;cg16557698,3
Chr1:37773813-37773903,1,37773813,37773903,cg05589454;cg11202686;cg02902637,3
Chr1:37783871-37783971,1,37783871,37783971,cg04851505;cg03085170;cg19234488,3
Chr1:38757741-38757902,1,38757741,38757902,cg19746897;cg06058681;cg16586530,3
Chr1:38940705-38940901,1,38940705,38940901,cg25578443;cg19641672;cg25203772;cg00817765,4
Chr1:38941821-38942644,1,38941821,38942644,cg08917530;cg00073543;cg06086731;cg02983950;cg04406436;cg00725089;cg11866742;cg03216506;cg11959697,9
Chr1:39025249-39025469,1,39025249,39025469,cg10626816;cg11716270;cg11817961,3
Chr1:39035934-39036030,1,39035934,39036030,cg06865451;cg18270687;cg02861615,3
Chr1:39044140-39044452,1,39044140,39044452,cg21816308;cg23048481;cg19857737;cg15489005;cg07550394,5
Chr1:39174721-39174939,1,39174721,39174939,cg07792320;cg24108215;cg18080858,3
Chr1:39249262-39249664,1,39249262,39249664,cg02680427;cg11391637;cg26113488;cg07958984;cg14667685;cg12410921,6
Chr1:39269995-39270310,1,39269995,39270310,cg21848143;cg04267214;cg17834155;cg22022568,4
Chr1:39281613-39282003,1,39281613,39282003,cg13976375;cg23237972;cg13202591;cg19224645,4
Chr1:39284267-39284609,1,39284267,39284609,cg10445421;cg09110148;cg06419400;cg02860281,4
Chr1:40388223-40388395,1,40388223,40388395,cg02630477;cg04218880;cg15196156,3
Chr1:40598394-40598779,1,40598394,40598779,cg01015662;cg07405182;cg13451356;cg16555417;cg16458866,5
Chr1:41153348-41153639,1,41153348,41153639,cg13396354;cg16599535;cg18930533,3
Chr1:41350014-41350183,1,41350014,41350183,cg13472192;cg01376402;cg08870646,3
Chr1:41827960-41828276,1,41827960,41828276,cg12431729;cg24402067;cg19471466;cg18742814,4
Chr1:41832369-41832649,1,41832369,41832649,cg15012766;cg03678139;cg11173422;cg11735311,4
Chr1:41889271-41889625,1,41889271,41889625,cg20677143;cg11706129;cg17016894;cg20078206,4
Chr1:41962067-41962232,1,41962067,41962232,cg04290779;cg23226358;cg04140553,3
Chr1:42501544-42501967,1,42501544,42501967,cg07578001;cg11016194;cg13547925;cg15818358;cg24323341;cg00321642,6
Chr1:42506354-42506979,1,42506354,42506979,cg09899041;cg24933241;cg15455721;cg00296565;cg00068412;cg03326699,6
Chr1:42611607-42611687,1,42611607,42611687,cg24998527;cg22816091;cg06092502,3
Chr1:42804806-42805103,1,42804806,42805103,cg19330076;cg21707106;cg21346430,3
Chr1:42928798-42928952,1,42928798,42928952,cg10332296;cg17458347;cg04353771,3
Chr1:43250763-43251253,1,43250763,43251253,cg07515989;cg24634568;cg18391694;cg27232866;cg19254906,5
Chr1:43352743-43352918,1,43352743,43352918,cg01934756;cg17105912;cg09793809,3
Chr1:43353980-43354136,1,43353980,43354136,cg16395679;cg10436833;cg05164680,3
Chr1:43389643-43389888,1,43389643,43389888,cg00045275;cg03728780;cg17585197;cg09865676,4
Chr1:43390395-43390705,1,43390395,43390705,cg14180916;cg19581816;cg23234434,3
Chr1:43472972-43473097,1,43472972,43473097,cg22933058;cg04857403;cg03343013,3
Chr1:43533796-43534324,1,43533796,43534324,cg02584756;cg10511249;cg18153322;cg14780649;cg02431672,5
Chr1:43610502-43610749,1,43610502,43610749,cg08055377;cg20002594;cg19335498,3
Chr1:44500834-44501079,1,44500834,44501079,cg12417992;cg13316375;cg02238513;cg07897508,4
Chr1:44509482-44509575,1,44509482,44509575,cg09980226;cg09470012;cg16583987,3
Chr1:44568992-44569177,1,44568992,44569177,cg05104351;cg24685298;cg06976222,3
Chr1:44619227-44619419,1,44619227,44619419,cg01590424;cg25383871;cg21133503,3
Chr1:45196869-45197147,1,45196869,45197147,cg03210388;cg01067635;cg24388860;cg16245313;cg04362757,5
Chr1:45454343-45454424,1,45454343,45454424,cg02972559;cg08638697;cg08900233,3
Chr1:45771938-45772169,1,45771938,45772169,cg13675393;cg25498961;cg27234723;cg27370049;cg25315819,5
Chr1:46632363-46632871,1,46632363,46632871,cg05322273;cg15711727;cg14796305;cg00041872;cg27636310;cg14709691,6
Chr1:46921287-46921397,1,46921287,46921397,cg01358522;cg02598644;cg14053460,3
